entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Jobs,0.859,0.745,0.708,0.790,0.861,0.926,0.944,1.000,0.935,0.813,0.935,0.947,0.927,0.851,0.914,0.953,0.492536
Coronavirus,,,,,,,,,,,,,,,,,
taxes,0.533,0.765,0.755,0.565,0.800,0.639,0.736,0.664,0.759,0.618,0.662,0.604,0.499,0.579,0.928,0.760,0.403163
trade,0.123,0.000,0.090,0.000,0.102,0.000,0.096,0.092,0.086,0.082,0.082,0.092,0.000,0.090,0.095,0.098,0.215733
Oil,0.000,0.000,0.157,0.139,0.150,0.164,0.146,0.182,0.198,0.208,0.251,0.294,0.322,0.000,0.345,0.000,0.167211
Mexico,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000,0.323,0.163722
China,0.000,0.000,0.166,0.000,0.146,0.135,0.135,0.133,0.112,0.101,0.105,0.109,0.109,0.000,0.107,0.128,0.154107
Melania Trump,,,,,,,,,,,,,,,,,
Prison,0.093,0.000,0.000,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.202,0.000,0.213,0.277,0.122344
war,0.405,0.355,0.298,0.260,0.217,0.242,0.213,0.184,0.184,0.186,0.166,0.203,0.173,0.204,0.000,0.214,0.101587
Japan,0.000,0.000,0.000,0.000,0.000,0.134,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
France,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
drugs,0.144,0.138,0.121,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.132,0.000,0.158,0.093931
Military,0.134,0.124,0.121,0.122,0.113,0.000,0.125,0.115,0.113,0.113,0.108,0.104,0.109,0.111,0.110,0.110,0.091304
Education,0.429,0.388,0.000,0.000,0.297,0.340,0.321,0.260,0.234,0.205,0.207,0.215,0.185,0.193,0.000,0.157,0.089677
India,0.000,0.000,0.213,0.000,0.195,0.000,0.180,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Health Care,0.137,0.121,0.106,0.120,0.121,0.123,0.138,0.124,0.109,0.104,0.113,0.117,0.110,0.111,0.128,0.080,0.084062
Space force,,,,,,,,,,,,,,,,,0.076976
energy,0.111,0.114,0.137,0.118,0.135,0.163,0.152,0.148,0.141,0.139,0.132,0.141,0.140,0.000,0.148,0.146,0.076778
Government,0.000,0.027,0.018,0.018,0.016,0.015,0.015,0.010,0.011,0.009,0.010,0.011,0.011,0.009,0.011,0.010,0.076290
unemployment,0.000,0.054,0.000,0.055,0.000,0.160,0.150,0.000,0.156,0.099,0.170,0.097,0.081,0.058,0.084,0.088,0.071169
Venezuela,0.022,0.022,0.027,0.022,0.000,0.000,0.000,0.015,0.020,0.023,0.028,0.021,0.018,0.017,0.019,0.104,0.070736
Crime,0.108,0.113,0.102,0.000,0.000,0.000,0.096,0.000,0.000,0.000,0.000,0.091,0.000,0.117,0.000,0.181,0.065293
Canada,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Mortgage Loan,0.000,0.000,0.216,0.000,0.329,0.268,0.166,0.147,0.163,0.130,0.000,0.140,0.000,0.000,0.000,0.000,
Tuskegee Airmen,,,,,,,,,,,,,,,,,
Germany,0.000,0.000,0.000,0.000,0.000,0.088,0.095,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Italy,0.000,0.000,0.000,0.000,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Abortion,0.000,0.000,0.053,0.000,0.000,0.000,0.033,0.000,0.000,0.033,0.032,0.029,0.025,0.000,0.000,0.294,0.050020
Russia,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.050,0.051,0.000,0.070,0.067,0.000,0.082,0.080,
Spain,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Charles McGee,,,,,,,,,,,,,,,,,
economy,0.065,0.070,0.061,0.050,0.092,0.108,0.057,0.053,0.053,0.051,0.049,0.059,0.058,0.058,0.061,0.079,0.040751
immigration,0.079,0.086,0.078,0.083,0.076,0.000,0.056,0.056,0.056,0.064,0.073,0.057,0.055,0.142,0.116,0.108,0.037068
Biden,0.000,0.000,0.002,0.005,0.003,0.017,0.014,0.017,0.016,0.000,0.032,0.029,0.000,0.013,0.005,0.013,
Africa,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,
Europe,0.000,0.000,0.137,0.000,0.000,0.000,0.000,0.084,0.077,0.000,0.077,0.000,0.000,0.000,0.000,0.000,
ICE,0.000,0.004,0.003,0.006,0.004,0.005,0.004,0.006,0.005,0.004,0.005,0.003,0.005,0.012,0.011,0.048,0.033577
Mitch McConnell,,,,,,,,,,,,,,,,,
Wages,0.000,0.041,0.040,0.055,0.044,0.045,0.042,0.042,0.047,0.151,0.000,0.074,0.065,0.059,0.068,0.078,0.030929
